Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita,cluster
331,Jardim Cambará,0.2671,0.1375,0.1303,0.0230910234487852,0.2741,3
332,Jardim João XXIII,0.2769,0.229,0.1317,0.0224875408492803,0.19,3
333,Raposo Tavares,0.1264,0.0676,0.0849,0.0130477265776621,0.1993,1
334,Rio Pequeno,0.2323,0.1451,0.1522,0.0118171991098271,0.2029,3
335,Jardim Ester Yolanda,0.2557,0.1235,0.1001,0.012739493632417,0.291,3
336,Jardim Adalgiza,0.2887,0.0732,0.1021,0.0224625359925677,0.2213,3
337,Parque Continental,0.1427,0.1121,0.151,0.0108857681972844,0.3793,1
338,Jaguaré,0.1998,0.1124,0.2148,0.0206982510064454,0.2309,3
339,Cidade Universitária,0.0,0.9549,0.2661,0.0281093058459431,0.0,4
340,Butantã,0.049,0.0323,0.1346,0.0099591459110327,0.6644,0
