Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita
311,Jardim Ângela,0.5607,0.4304,0.1639,0.022300966149194364,0.1496
312,Capão Redondo,0.2426,0.3353,0.1458,0.010549645219552258,0.2473
313,Jardim Sônia Ingá,0.1537,0.1544,0.0501,0.005067330385324842,0.2253
314,Adventista,0.6666,0.6083,0.2749,0.026219515713628995,0.1865
315,Parque Fernanda,0.7754,0.3743,0.3078,0.024633149900269092,0.1629
316,Morumbi,0.0985,0.0972,0.1377,0.01305349692921125,0.5735
317,Jóquei Clube,0.0273,0.0189,0.0764,0.016024266251714277,0.7756
318,Fazenda Morumbi,0.1451,0.0391,0.1291,0.015422707102725723,0.3150
319,Real Parque,0.0571,0.0941,0.2019,0.01074343285907455,0.6029
320,Paraisópolis,0.4677,0.2189,0.1198,0.017404822859824698,0.2132
321,Jardim Vitória Régia,0.2710,0.1430,0.2310,0.01780057280356377,0.7780
322,Vila Suzana,0.2498,0.1494,0.2056,0.014449922004081562,0.4395
323,Parque Arariba,0.3971,0.2149,0.1087,0.016666217861546186,0.2563
324,Jardim Mitsutani,0.4519,0.3129,0.2231,0.016797012496658006,0.1565
325,Pirajussara,0.2537,0.3058,0.1117,0.012985695298509905,0.2298
326,Jardim Umarizal,0.3233,0.1650,0.1128,0.01418111979442161,0.2074
327,Portal do Morumbi,0.1249,0.0201,0.0647,0.007281702792273115,0.5526
328,Jardim Jussara,0.1435,0.1177,0.1508,0.011134374176522749,0.5285
329,Vila Sônia,0.2179,0.1546,0.2112,0.016755177447927386,0.4167
330,Jardim Maria do Carmo,0.2678,0.0770,0.1375,0.013346342270325584,0.2474
331,Jardim Cambará,0.2671,0.1375,0.1303,0.023091023448785244,0.2741
332,Jardim João XXIII,0.2769,0.2290,0.1317,0.02248754084928034,0.1900
333,Raposo Tavares,0.1264,0.0676,0.0849,0.013047726577662198,0.1993
334,Rio Pequeno,0.2323,0.1451,0.1522,0.011817199109827101,0.2029
335,Jardim Ester Yolanda,0.2557,0.1235,0.1001,0.012739493632417066,0.2910
336,Jardim Adalgiza,0.2887,0.0732,0.1021,0.022462535992567787,0.2213
337,Parque Continental,0.1427,0.1121,0.1510,0.010885768197284472,0.3793
338,Jaguaré,0.1998,0.1124,0.2148,0.020698251006445484,0.2309
339,Cidade Universitária,0.0000,0.9549,0.2661,0.028109305845943153,0.0000
340,Butantã,0.0490,0.0323,0.1346,0.00995914591103272,0.6644
341,Jardim Caxingui,0.0668,0.0655,0.0870,0.008659374224609011,0.4633
342,Jardim Bonfiglioli,0.2261,0.0932,0.1471,0.015386161542915068,0.3857
365,Várzea do Palácio,0.0298,0.0057,0.1628,0.031100271398867858,0.2509
